
央视频道,#genre#
广东卫视,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8?key=tvbox6_com&playlive=1&authid=0
深圳卫视,http://58.19.38.162:9901/tsfile/live/1023_1.m3u8?key=tvbox6_com&playlive=1&authid=0
天津卫视,http://58.19.38.162:9901/tsfile/live/1024_1.m3u8?key=tvbox6_com&playlive=1&authid=0
山东卫视,http://58.19.38.162:9901/tsfile/live/1025_1.m3u8?key=tvbox6_com&playlive=1&authid=0
河南卫视,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8?key=tvbox6_com&playlive=1&authid=0
辽宁卫视,http://58.19.38.162:9901/tsfile/live/1027_1.m3u8?key=tvbox6_com&playlive=1&authid=0
东南卫视,http://58.19.38.162:9901/tsfile/live/1028_1.m3u8?key=tvbox6_com&playlive=1&authid=0
江西卫视,http://58.19.38.162:9901/tsfile/live/1029_1.m3u8?key=tvbox6_com&playlive=1&authid=0
贵州卫视,http://58.19.38.162:9901/tsfile/live/1030_1.m3u8?key=tvbox6_com&playlive=1&authid=0






湖南卫视,http://222.174.140.242:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$
江苏卫视,http://222.174.140.242:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$
浙江卫视,http://222.174.140.242:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$
北京卫视,http://222.174.140.242:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$
天津卫视,http://222.174.140.242:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$
湖北卫视,http://222.174.140.242:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$
山东卫视,http://222.174.140.242:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$
黑龙江卫视,http://222.174.140.242:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$
重庆卫视,http://222.174.140.242:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$
江西卫视,http://222.174.140.242:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$
贵州卫视,http://222.174.140.242:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$
河北卫视,http://222.174.140.242:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$
安徽卫视,http://222.174.140.242:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$
辽宁卫视,http://222.174.140.242:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$
吉林卫视,http://222.174.140.242:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$
河北卫视,http://222.174.140.242:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$
四川卫视,http://222.174.140.242:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$
河南卫视,http://222.174.140.242:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$






湖南卫视,http://220.168.77.132:8082/hls/17/index.m3u8
江苏卫视,http://220.168.77.132:8082/hls/21/index.m3u8
浙江卫视,http://220.168.77.132:8082/hls/22/index.m3u8
北京卫视,http://220.168.77.132:8082/hls/23/index.m3u8
广东卫视,http://220.168.77.132:8082/hls/24/index.m3u8
东方卫视,http://220.168.77.132:8082/hls/25/index.m3u8
天津卫视,http://220.168.77.132:8082/hls/26/index.m3u8
江西卫视,http://220.168.77.132:8082/hls/27/index.m3u8
深圳卫视,http://220.168.77.132:8082/hls/28/index.m3u8
辽宁卫视,http://220.168.77.132:8082/hls/29/index.m3u8
东南卫视,http://220.168.77.132:8082/hls/30/index.m3u8
海南卫视,http://220.168.77.132:8082/hls/31/index.m3u8
湖北卫视,http://220.168.77.132:8082/hls/32/index.m3u8
广西卫视,http://220.168.77.132:8082/hls/33/index.m3u8
山东卫视,http://220.168.77.132:8082/hls/34/index.m3u8
重庆卫视,http://220.168.77.132:8082/hls/35/index.m3u8
云南卫视,http://220.168.77.132:8082/hls/36/index.m3u8
河南卫视,http://220.168.77.132:8082/hls/37/index.m3u8
黑龙江卫视,http://220.168.77.132:8082/hls/38/index.m3u8
贵州卫视,http://220.168.77.132:8082/hls/39/index.m3u8
河北卫视,http://220.168.77.132:8082/hls/40/index.m3u8
吉林卫视,http://220.168.77.132:8082/hls/41/index.m3u8
陕西卫视,http://220.168.77.132:8082/hls/42/index.m3u8
山西卫视,http://220.168.77.132:8082/hls/43/index.m3u8
内蒙古卫视,http://220.168.77.132:8082/hls/44/index.m3u8
宁夏卫视,http://220.168.77.132:8082/hls/45/index.m3u8
西藏卫视,http://220.168.77.132:8082/hls/46/index.m3u8
新疆卫视,http://220.168.77.132:8082/hls/47/index.m3u8
甘肃卫视,http://220.168.77.132:8082/hls/48/index.m3u8










辽宁卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=058
江苏卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=085
天津卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=084
湖南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=086
北京卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=083
黑龙江卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=095
广东卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=092
东方卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=093
浙江卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=094
吉林卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=097
安徽卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=096
江西卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=098
山东卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=099
贵州卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=101
深圳卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=100
湖北卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=102
四川卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=103
陕西卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=512
河南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=339
海南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=473
云南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=482
东南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=483
金鹰卡通,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=105
河南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=104
卡酷少儿,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=106
重庆卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=107
山西卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=109
河北卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=108
青海卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=111
内蒙古卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=110
山东教育卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=112
北京纪实科教,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=113
广西卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=116
云南卫视,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=115
